4/21/2021, 11:12:07 PM | INFO | Connected to DB successfully | 
4/21/2021, 11:14:00 PM | INFO | Connected to DB successfully | 
4/21/2021, 11:18:38 PM | INFO | Connected to DB successfully | 
4/21/2021, 11:20:33 PM | INFO | Connected to DB successfully | 
4/21/2021, 11:22:52 PM | INFO | Connected to DB successfully | 
4/21/2021, 11:25:31 PM | INFO | Connected to DB successfully | 
4/21/2021, 11:25:54 PM | INFO | Connected to DB successfully | 
4/21/2021, 11:27:25 PM | INFO | Connected to DB successfully | 
4/21/2021, 11:29:07 PM | INFO | Connected to DB successfully | 
4/21/2021, 11:29:49 PM | INFO | Connected to DB successfully | 
4/21/2021, 11:32:53 PM | INFO | Connected to DB successfully | 
4/21/2021, 11:59:34 PM | INFO | Connected to DB successfully | 
4/22/2021, 12:11:10 AM | INFO | Connected to DB successfully | 
4/22/2021, 1:25:23 AM | INFO | Connected to DB successfully | 
4/22/2021, 1:29:50 AM | INFO | Connected to DB successfully | 
4/22/2021, 1:30:48 AM | INFO | Connected to DB successfully | 
4/22/2021, 1:37:17 AM | INFO | Connected to DB successfully | 
4/22/2021, 1:47:40 AM | INFO | Connected to DB successfully | 
4/22/2021, 1:59:43 AM | INFO | Connected to DB successfully | 
4/22/2021, 2:14:11 AM | INFO | Connected to DB successfully | 
4/22/2021, 2:55:21 AM | INFO | Connected to DB successfully | 
4/22/2021, 2:57:22 AM | INFO | Connected to DB successfully | 
4/22/2021, 2:58:07 AM | INFO | Connected to DB successfully | 
4/22/2021, 2:58:47 AM | INFO | Connected to DB successfully | 
4/22/2021, 3:00:02 AM | INFO | Connected to DB successfully | 
4/22/2021, 3:20:33 AM | INFO | Connected to DB successfully | 
4/22/2021, 3:21:53 AM | INFO | Connected to DB successfully | 
4/22/2021, 3:22:52 AM | INFO | Connected to DB successfully | 
4/22/2021, 3:23:42 AM | INFO | Connected to DB successfully | 
4/22/2021, 3:28:21 AM | INFO | Connected to DB successfully | 
4/22/2021, 3:29:12 AM | INFO | Connected to DB successfully | 
4/22/2021, 3:29:31 AM | INFO | Connected to DB successfully | 
4/22/2021, 3:30:02 AM | INFO | Connected to DB successfully | 
4/22/2021, 3:30:52 AM | INFO | Connected to DB successfully | 
4/22/2021, 3:39:31 AM | INFO | Connected to DB successfully | 
4/22/2021, 3:42:02 AM | INFO | Connected to DB successfully | 
4/22/2021, 3:42:44 AM | INFO | Connected to DB successfully | 
4/22/2021, 3:43:10 AM | INFO | Connected to DB successfully | 
4/22/2021, 3:44:08 AM | INFO | Connected to DB successfully | 
4/22/2021, 3:45:31 AM | INFO | Connected to DB successfully | 
4/22/2021, 3:46:07 AM | INFO | Connected to DB successfully | 
4/22/2021, 3:48:37 AM | INFO | Connected to DB successfully | 
4/22/2021, 3:48:50 AM | INFO | Connected to DB successfully | 
4/22/2021, 3:52:06 AM | INFO | Connected to DB successfully | 
4/22/2021, 5:13:19 PM | INFO | Connected to DB successfully | 
4/22/2021, 5:14:30 PM | INFO | Connected to DB successfully | 
4/22/2021, 5:15:39 PM | INFO | Connected to DB successfully | 
4/22/2021, 5:18:22 PM | INFO | Connected to DB successfully | 
4/22/2021, 5:19:03 PM | INFO | Connected to DB successfully | 
4/22/2021, 5:19:23 PM | INFO | Connected to DB successfully | 
4/22/2021, 5:19:53 PM | INFO | Connected to DB successfully | 
4/22/2021, 5:24:08 PM | INFO | Connected to DB successfully | 
4/22/2021, 5:25:21 PM | INFO | Connected to DB successfully | 
4/22/2021, 5:26:11 PM | INFO | Connected to DB successfully | 
4/22/2021, 5:27:22 PM | INFO | Connected to DB successfully | 
4/22/2021, 5:28:41 PM | INFO | Connected to DB successfully | 
4/22/2021, 5:31:14 PM | INFO | Connected to DB successfully | 
4/22/2021, 5:42:57 PM | INFO | Connected to DB successfully | 
4/22/2021, 6:53:03 PM | INFO | Connected to DB successfully | 
4/22/2021, 6:54:20 PM | INFO | Connected to DB successfully | 
4/22/2021, 7:16:12 PM | INFO | Connected to DB successfully | 
4/22/2021, 7:18:15 PM | INFO | Connected to DB successfully | 
4/22/2021, 7:20:55 PM | INFO | Connected to DB successfully | 
4/22/2021, 7:36:58 PM | INFO | Connected to DB successfully | 
4/22/2021, 7:41:08 PM | INFO | Connected to DB successfully | 
4/22/2021, 7:48:59 PM | INFO | Connected to DB successfully | 
4/22/2021, 7:49:19 PM | INFO | Connected to DB successfully | 
4/22/2021, 7:52:39 PM | INFO | Connected to DB successfully | 
4/23/2021, 4:39:39 AM | INFO | Connected to DB successfully | 
4/23/2021, 4:41:17 AM | INFO | Connected to DB successfully | 
4/23/2021, 4:41:53 AM | INFO | Connected to DB successfully | 
4/23/2021, 4:43:48 AM | INFO | Connected to DB successfully | 
4/23/2021, 4:45:24 AM | INFO | Connected to DB successfully | 
4/23/2021, 4:46:38 AM | INFO | Connected to DB successfully | 
4/23/2021, 4:48:56 AM | INFO | Connected to DB successfully | 
4/23/2021, 4:53:05 AM | INFO | Connected to DB successfully | 
4/23/2021, 4:53:56 AM | INFO | Connected to DB successfully | 
4/23/2021, 4:56:09 AM | INFO | Connected to DB successfully | 
4/23/2021, 4:59:12 AM | INFO | Connected to DB successfully | 
4/23/2021, 5:01:04 AM | INFO | Connected to DB successfully | 
4/23/2021, 5:02:43 AM | INFO | Connected to DB successfully | 
4/23/2021, 6:39:54 AM | INFO | Connected to DB successfully | 
4/23/2021, 6:44:26 AM | INFO | Connected to DB successfully | 
4/23/2021, 6:45:05 AM | INFO | Connected to DB successfully | 
4/23/2021, 6:46:10 AM | INFO | Connected to DB successfully | 
4/23/2021, 6:47:53 AM | INFO | Connected to DB successfully | 
4/23/2021, 6:48:48 AM | INFO | Connected to DB successfully | 
4/23/2021, 6:51:16 AM | INFO | Connected to DB successfully | 
4/23/2021, 6:52:16 AM | INFO | Connected to DB successfully | 
4/23/2021, 6:53:45 AM | INFO | Connected to DB successfully | 
4/23/2021, 6:58:11 AM | INFO | Connected to DB successfully | 
4/23/2021, 7:00:35 AM | INFO | Connected to DB successfully | 
4/23/2021, 7:03:13 AM | INFO | Connected to DB successfully | 
4/23/2021, 10:05:19 PM | INFO | Connected to DB successfully | 
4/23/2021, 10:06:01 PM | INFO | Connected to DB successfully | 
4/23/2021, 10:10:52 PM | INFO | Connected to DB successfully | 
4/23/2021, 10:11:37 PM | INFO | Connected to DB successfully | 
4/23/2021, 10:12:34 PM | INFO | Connected to DB successfully | 
4/23/2021, 10:12:48 PM | INFO | Connected to DB successfully | 
4/23/2021, 10:20:04 PM | INFO | Connected to DB successfully | 
4/23/2021, 10:43:22 PM | INFO | Connected to DB successfully | 
4/23/2021, 11:22:51 PM | INFO | Connected to DB successfully | 
4/24/2021, 12:09:13 AM | INFO | Connected to DB successfully | 
4/24/2021, 12:15:19 AM | INFO | Connected to DB successfully | 
4/24/2021, 12:29:02 AM | INFO | Connected to DB successfully | 
4/24/2021, 12:30:52 AM | INFO | Connected to DB successfully | 
4/24/2021, 12:39:28 AM | INFO | Connected to DB successfully | 
4/24/2021, 12:53:16 AM | INFO | Connected to DB successfully | 
